Date,Open,High,Low,Close*,Adj Close**,Volume
"Mar 08, 2024",79.51,79.99,77.56,77.85,77.85,"315,177"
"Mar 07, 2024",79.13,79.53,78.02,78.93,78.93,"432,923"
"Mar 06, 2024",78.15,80.67,77.99,79.13,79.13,"371,049"
"Mar 05, 2024",78.74,79.49,77.52,78.15,78.15,"436,521"
"Mar 04, 2024",80.14,80.41,78.56,78.74,78.74,"347,214"
"Mar 01, 2024",78.28,80.85,78.05,79.97,79.97,"363,417"
"Feb 29, 2024",78.20,79.28,77.94,78.26,78.26,"317,939"
"Feb 28, 2024",78.48,79.62,77.78,78.54,78.54,"330,043"
"Feb 27, 2024",77.62,79.00,77.17,78.87,78.87,"269,236"
"Feb 26, 2024",76.40,78.03,75.84,77.58,77.58,"274,710"
"Feb 23, 2024",78.37,78.39,76.35,76.49,76.49,"353,437"
"Feb 22, 2024",78.09,78.92,77.23,78.61,78.61,"330,511"
"Feb 21, 2024",77.15,78.08,76.32,77.91,77.91,"323,243"
"Feb 20, 2024",78.98,79.80,77.67,78.18,78.18,"435,235"
"Feb 19, 2024",78.98,79.75,78.66,79.29,79.29,"113,713"
"Feb 16, 2024",78.11,79.35,77.22,79.19,79.19,"113,713"
"Feb 15, 2024",76.60,78.44,75.78,78.03,78.03,"122,432"
"Feb 14, 2024",77.81,78.77,76.38,76.64,76.64,"296,131"
"Feb 13, 2024",77.03,78.47,76.87,77.87,77.87,"338,174"
"Feb 12, 2024",76.60,77.09,75.54,76.92,76.92,"248,476"
"Feb 09, 2024",76.42,77.29,75.93,76.84,76.84,"302,612"
"Feb 08, 2024",74.08,76.59,73.56,76.22,76.22,"377,906"
"Feb 07, 2024",73.50,74.22,73.23,73.86,73.86,"294,955"
"Feb 06, 2024",72.76,73.82,72.38,73.31,73.31,"310,955"
"Feb 05, 2024",72.75,73.28,71.41,72.78,72.78,"350,843"
"Feb 02, 2024",73.91,74.52,71.79,72.28,72.28,"467,768"
"Feb 01, 2024",75.96,76.95,73.70,73.82,73.82,"577,936"
"Jan 31, 2024",77.84,78.11,75.52,75.85,75.85,"344,493"
"Jan 30, 2024",77.02,78.14,75.85,77.82,77.82,"347,242"
"Jan 29, 2024",78.90,79.29,76.41,76.78,76.78,"331,925"
"Jan 26, 2024",77.15,78.26,76.06,78.01,78.01,"365,456"
"Jan 25, 2024",75.30,77.51,75.16,77.36,77.36,"320,177"
"Jan 24, 2024",74.57,75.83,73.94,75.09,75.09,"323,726"
"Jan 23, 2024",74.68,75.25,73.41,74.37,74.37,"306,060"
"Jan 22, 2024",73.41,75.75,72.89,75.19,75.19,"372,284"
"Jan 19, 2024",74.08,74.91,73.20,73.41,73.41,"78,234"
"Jan 18, 2024",72.78,74.38,72.18,74.08,74.08,"86,646"
"Jan 17, 2024",72.00,72.95,70.50,72.56,72.56,"315,679"
"Jan 16, 2024",72.63,73.56,71.23,72.40,72.40,"430,437"
"Jan 12, 2024",73.01,75.25,72.36,72.68,72.68,"403,636"
"Jan 11, 2024",71.33,73.81,71.17,72.02,72.02,"373,645"
"Jan 10, 2024",72.17,73.59,71.01,71.37,71.37,"352,772"
"Jan 09, 2024",70.91,72.93,70.47,72.24,72.24,"363,445"
"Jan 08, 2024",73.51,73.95,70.13,70.77,70.77,"392,249"
"Jan 05, 2024",72.40,74.24,72.21,73.81,73.81,"325,525"
"Jan 04, 2024",73.04,74.00,71.06,72.19,72.19,"344,467"
"Jan 03, 2024",70.50,73.23,69.28,72.70,72.70,"334,861"
"Jan 02, 2024",71.71,73.64,70.06,70.38,70.38,"330,992"
"Dec 29, 2023",71.99,72.62,71.25,71.65,71.65,"214,486"
"Dec 28, 2023",73.80,74.40,71.72,71.77,71.77,"262,748"
"Dec 27, 2023",75.32,75.66,73.77,74.11,74.11,"253,323"
"Dec 26, 2023",73.56,76.18,73.13,75.57,75.57,"208,715"
"Dec 22, 2023",73.91,74.98,73.39,73.56,73.56,"222,600"
"Dec 21, 2023",73.81,74.58,72.44,73.89,73.89,"251,982"
"Dec 20, 2023",74.06,75.37,73.60,74.22,74.22,"273,364"
"Dec 19, 2023",72.48,74.01,71.85,73.44,73.44,"230,042"
"Dec 18, 2023",71.68,74.26,70.64,72.47,72.47,"73,941"
"Dec 15, 2023",71.61,72.22,70.30,71.43,71.43,"95,513"
"Dec 14, 2023",69.85,72.46,69.54,71.58,71.58,"275,688"
"Dec 13, 2023",68.73,69.89,67.71,69.47,69.47,"306,996"
"Dec 12, 2023",71.43,71.96,68.22,68.61,68.61,"324,530"
"Dec 11, 2023",71.15,71.81,70.35,71.32,71.32,"274,414"
"Dec 08, 2023",69.76,71.63,69.50,71.23,71.23,"302,250"
"Dec 07, 2023",69.28,70.48,68.80,69.34,69.34,"339,000"
"Dec 06, 2023",72.10,72.60,69.11,69.38,69.38,"436,803"
"Dec 05, 2023",73.30,74.12,72.02,72.32,72.32,"358,703"
"Dec 04, 2023",74.58,75.03,72.63,73.04,73.04,"388,832"
"Dec 01, 2023",75.59,76.76,73.93,74.07,74.07,"358,976"
"Nov 30, 2023",77.75,79.60,75.05,75.96,75.96,"559,169"
"Nov 29, 2023",76.56,78.09,75.67,77.86,77.86,"322,170"
"Nov 28, 2023",75.07,77.02,74.64,76.41,76.41,"286,618"
"Nov 27, 2023",75.31,76.23,74.06,74.86,74.86,"289,562"
"Nov 24, 2023",76.79,77.09,75.07,75.54,75.54,"281,147"
