Date,Open,High,Low,Close,Adj Close**,Volume
2017-11-09,308.64,329.45,307.06,320.88,320.88,"893,249,984"
2017-11-10,320.67,324.72,294.54,299.25,299.25,"885,985,984"
2017-11-11,298.59,319.45,298.19,314.68,314.68,"842,300,992"
2017-11-12,314.69,319.15,298.51,307.91,307.91,"1,613,479,936"
2017-11-13,307.02,328.42,307.02,316.72,316.72,"1,041,889,984"
2017-11-14,316.76,340.18,316.76,337.63,337.63,"1,069,680,000"
2017-11-15,337.96,340.91,329.81,333.36,333.36,"722,665,984"
2017-11-16,333.44,336.16,323.61,330.92,330.92,"797,254,016"
2017-11-17,330.17,334.96,327.52,332.39,332.39,"621,732,992"
2017-11-18,331.98,349.62,327.69,347.61,347.61,"649,638,976"
2017-11-19,347.40,371.29,344.74,354.39,354.39,"1,181,529,984"
2017-11-20,354.09,372.14,353.29,366.73,366.73,"807,027,008"
2017-11-21,367.44,372.47,350.69,360.40,360.40,"949,912,000"
2017-11-22,360.31,381.42,360.15,380.65,380.65,"800,819,008"
2017-11-23,381.44,425.55,376.09,410.17,410.17,"1,845,680,000"
2017-11-24,412.50,480.97,402.76,474.91,474.91,"2,292,829,952"
2017-11-25,475.68,485.19,461.05,466.28,466.28,"1,422,080,000"
2017-11-26,465.97,472.72,451.61,471.33,471.33,"1,197,779,968"
2017-11-27,471.53,493.40,468.48,480.36,480.36,"1,396,480,000"
2017-11-28,480.52,482.48,466.35,472.90,472.90,"1,346,499,968"
2017-11-29,473.28,522.31,425.07,427.52,427.52,"2,675,940,096"
2017-11-30,431.21,465.50,401.24,447.11,447.11,"1,903,040,000"
2017-12-01,445.21,472.61,428.31,466.54,466.54,"1,247,879,936"
2017-12-02,466.85,476.24,456.65,463.45,463.45,"943,649,984"
2017-12-03,463.70,482.81,451.85,465.85,465.85,"990,556,992"
2017-12-04,466.05,474.78,453.31,470.20,470.20,"1,005,550,016"
2017-12-05,470.29,473.56,457.66,463.28,463.28,"1,216,720,000"
2017-12-06,462.60,462.71,420.21,428.59,428.59,"1,998,259,968"
2017-12-07,426.37,441.40,414.41,434.41,434.41,"2,129,570,048"
2017-12-08,434.99,466.06,422.37,456.03,456.03,"2,336,379,904"
2017-12-09,457.34,504.15,456.25,473.50,473.50,"2,003,849,984"
2017-12-10,472.79,472.79,429.51,441.72,441.72,"1,404,179,968"
2017-12-11,440.36,516.97,439.10,515.14,515.14,"1,771,440,000"
2017-12-12,522.29,657.32,504.49,651.43,651.43,"5,179,829,760"
2017-12-13,644.91,747.99,597.80,702.77,702.77,"4,524,539,904"
2017-12-14,700.59,753.12,664.99,695.82,695.82,"3,821,580,032"
2017-12-15,696.38,697.13,621.06,684.45,684.45,"2,758,710,016"
2017-12-16,686.19,718.39,680.79,696.21,696.21,"2,165,690,112"
2017-12-17,696.24,735.83,696.24,719.97,719.97,"2,147,389,952"
2017-12-18,721.73,803.93,689.23,794.65,794.65,"3,249,230,080"
2017-12-19,793.90,881.94,785.34,826.82,826.82,"4,096,549,888"
2017-12-20,827.52,845.06,756.00,819.09,819.09,"3,969,939,968"
2017-12-21,820.24,880.54,792.69,821.06,821.06,"3,569,060,096"
2017-12-22,822.64,827.68,543.76,674.86,674.86,"4,977,710,080"
2017-12-23,681.32,763.90,679.73,719.39,719.39,"2,480,339,968"
2017-12-24,721.77,721.77,614.92,694.15,694.15,"2,300,549,888"
2017-12-25,698.87,782.52,698.87,765.83,765.83,"2,491,760,128"
