Date,Open,High,Low,Close,Adj Close,Volume
2000-08-23,31.95,32.80,31.95,32.05,32.05,"79,385"
2000-08-24,31.90,32.24,31.40,31.63,31.63,"72,978"
2000-08-25,31.70,32.10,31.32,32.05,32.05,"44,601"
2000-08-28,32.04,32.92,31.86,32.87,32.87,"46,770"
2000-08-29,32.82,33.03,32.56,32.72,32.72,"49,131"
2000-08-30,32.75,33.40,32.10,33.40,33.40,"79,214"
2000-08-31,33.25,33.70,32.97,33.10,33.10,"56,895"
2000-09-01,33.05,33.45,32.75,33.38,33.38,"45,869"
2000-09-05,33.95,33.99,33.42,33.80,33.80,"55,722"
2000-09-06,33.99,34.95,33.83,34.95,34.95,"74,692"
2000-09-07,34.50,35.50,34.45,35.33,35.33,"74,105"
2000-09-08,34.55,34.78,33.40,33.70,33.70,"88,415"
2000-09-11,33.80,35.85,33.75,35.10,35.10,"101,518"
2000-09-12,35.45,35.50,34.10,34.20,34.20,"91,911"
2000-09-13,34.00,34.74,33.50,33.80,33.80,"94,630"
2000-09-14,33.78,34.50,33.12,34.10,34.10,"98,068"
2000-09-15,34.50,36.10,34.45,35.85,35.85,"85,839"
2000-09-18,36.20,37.15,36.15,36.88,36.88,"59,663"
2000-09-19,36.55,37.00,36.15,36.50,36.50,"62,731"
2000-09-20,37.50,37.80,36.50,37.50,37.50,"119,080"
2000-09-21,34.65,35.50,33.35,33.95,33.95,"110,851"
2000-09-22,34.00,34.40,32.50,32.65,32.65,"85,083"
2000-09-25,31.40,32.10,31.05,31.57,31.57,"104,683"
2000-09-26,32.00,32.05,31.40,31.50,31.50,"67,727"
2000-09-27,31.95,32.25,31.40,31.50,31.50,"86,160"
2000-09-28,31.10,32.42,30.25,30.30,30.30,"77,513"
2000-09-29,30.70,30.95,30.15,30.86,30.86,"57,628"
2000-10-02,31.45,32.35,31.35,32.15,32.15,"59,618"
2000-10-03,32.00,32.32,31.69,32.07,32.07,"48,238"
2000-10-04,31.60,31.90,31.30,31.50,31.50,"58,088"
2000-10-05,30.85,30.95,30.17,30.65,30.65,"97,911"
2000-10-06,30.75,30.96,30.55,30.85,30.85,"46,276"
2000-10-09,31.55,31.92,31.23,31.88,31.88,"51,647"
2000-10-10,32.25,33.25,32.23,33.15,33.15,"78,801"
2000-10-11,33.60,33.70,32.96,33.15,33.15,"78,565"
2000-10-12,35.00,37.00,34.80,36.10,36.10,"116,368"
2000-10-13,35.93,35.96,34.90,35.05,35.05,-
2000-10-16,34.40,34.80,32.70,33.10,33.10,"60,396"
2000-10-17,32.70,33.50,32.40,32.95,32.95,"77,365"
2000-10-18,33.55,33.85,33.10,33.55,33.55,"53,355"
2000-10-19,33.85,34.30,32.70,32.95,32.95,"55,415"
